airport_id,airport_name,iata,degree
3717,General Mitchell International Airport,MKE,125
2384,Naha Airport,OKA,123
4330,Imam Khomeini International Airport,IKA,122
1200,Dubrovnik Airport,DBV,121
3748,Norman Y. Mineta San Jose International Airport,SJC,120
1367,Paris Beauvais Tillé Airport,BVA,120
1529,Milano Linate Airport,LIN,120
6355,Zhuhai Jinwan Airport,ZUH,119
2131,Mehrabad International Airport,THR,119
2370,Jeju International Airport,CJU,118
3774,Ted Stevens Anchorage International Airport,ANC,118
2223,Benazir Bhutto International Airport,nan,117
273,Murtala Muhammed International Airport,LOS,117
3959,Vilnius International Airport,VNO,116
1715,Dalaman International Airport,DLM,116
2621,Deputado Luiz Eduardo Magalhães International Airport,SSA,116
491,Liverpool John Lennon Airport,LPL,116
669,Kraków John Paul II International Airport,KRK,114
2578,Viracopos International Airport,VCP,114
2899,Princess Juliana International Airport,SXM,114
3136,Cochin International Airport,COK,114
3240,Hasanuddin International Airport,UPG,112
3392,Yantai Laishan Airport,YNT,112
3473,Memphis International Airport,MEM,112
2207,Alama Iqbal International Airport,LHE,111
3453,Metropolitan Oakland International Airport,OAK,111
2537,Tancredo Neves International Airport,CNF,110
3322,Cairns International Airport,CNS,110
3817,Sacramento International Airport,SMF,108
2954,Minsk National Airport,MSQ,108
666,Stavanger Airport Sola,SVG,106
1563,Peretola Airport,FLR,106
2979,Dushanbe Airport,DYU,106
1892,Monseñor Óscar Arnulfo Romero International Airport,SAL,105
4091,Madeira Airport,FNC,104
1520,Olbia Costa Smeralda Airport,OLB,104
3269,Kota Kinabalu International Airport,BKI,104
2910,Astana International Airport,TSE,104
1682,Esenboğa International Airport,ESB,103
1460,Ioannis Kapodistrias International Airport,CFU,103
3825,Bradley International Airport,BDL,103
687,Gothenburg-Landvetter Airport,GOT,102
253,Port Bouet Airport,ABJ,102
3341,Adelaide International Airport,ADL,102
668,Gdańsk Lech Wałęsa Airport,GDN,101
1840,Los Cabos International Airport,SJD,101
1553,Ciampino–G. B. Pastine International Airport,CIA,100
1501,Bari Karol Wojtyła Airport,BRI,100
5,Port Moresby Jacksons International Airport,POM,100
353,Bremen Airport,BRE,100
6366,Xining Caojiabu Airport,XNN,99
248,Kotoka International Airport,ACC,99
897,Douala International Airport,DLA,98
2074,Prince Mohammad Bin Abdulaziz Airport,MED,98
1222,Girona Airport,GRO,98
4167,Orlando Sanford International Airport,SFB,97
1206,Split Airport,SPU,97
4206,Mactan Cebu International Airport,CEB,97
1157,Tripoli International Airport,TIP,95
3931,Chiang Mai International Airport,CNX,95
347,Nuremberg Airport,NUE,95
2618,Congonhas Airport,CGH,94
6390,Sunan Shuofang International Airport,WUX,94
355,Frankfurt-Hahn Airport,HHN,94
608,Billund Airport,BLL,94
73,Halifax / Stanfield International Airport,YHZ,93
3239,Yangon International Airport,RGN,93
1762,Las Américas International Airport,SDQ,93
1836,Licenciado Gustavo Díaz Ordaz International Airport,PVR,92
951,Quatro de Fevereiro Airport,LAD,92
8076,Al Maktoum International Airport,DWC,92
3712,Jacksonville International Airport,JAX,91
2960,Krasnodar Pashkovsky International Airport,KRR,91
16,Keflavik International Airport,KEF,91
7447,Enfidha - Hammamet International Airport,NBE,90
3964,Zvartnots International Airport,EVN,90
3999,Darwin International Airport,DRW,90
1458,Kos Airport,KGS,90
1474,Chania International Airport,CHQ,90
2912,Manas International Airport,FRU,90
2895,Queen Beatrix International Airport,AUA,90
1780,Sangster International Airport,MBJ,89
100,Ottawa Macdonald-Cartier International Airport,YOW,89
3722,Palm Beach International Airport,PBI,88
4374,Yemelyanovo Airport,KJA,88
6386,Quanzhou Jinjiang International Airport,JJN,88
1909,José Martí International Airport,HAV,87
1519,Cagliari Elmas Airport,CAG,86
1526,Turin Airport,TRN,86
2545,Afonso Pena Airport,CWB,86
665,Trondheim Airport Værnes,TRD,86
3867,John Wayne Airport-Orange County Airport,SNA,86
3125,Tribhuvan International Airport,KTM,86
2599,Salgado Filho Airport,POA,86
1208,Zagreb Airport,ZAG,85
3156,Malé International Airport,MLE,85
1198,Paphos International Airport,PFO,85
3456,Kahului Airport,OGG,84
2334,Osaka International Airport,ITM,84
797,Cape Town International Airport,CPT,84
3153,Trivandrum International Airport,TRV,84
3308,Penang International Airport,PEN,84
1847,General Abelardo L. Rodríguez International Airport,TIJ,83
1960,Nadi International Airport,NAN,83
4014,Louisville International Standiford Field,SDF,83
4019,Albuquerque International Sunport,ABQ,83
893,Sir Seewoosagur Ramgoolam International Airport,MRU,82
532,Aberdeen Dyce Airport,ABZ,82
3410,Borg El Arab International Airport,HBE,81
160,Winnipeg / James Armstrong Richardson International Airport,YWG,81
1175,Khartoum International Airport,KRT,81
3863,Will Rogers World Airport,OKC,81
3035,Siem Reap International Airport,REP,81
245,Cadjehoun Airport,COO,80
2275,Taipei Songshan Airport,TSA,80
1399,Lille-Lesquin Airport,LIL,80
348,Leipzig/Halle Airport,LEJ,79
1130,Hurghada International Airport,HRG,79
1165,Kigali International Airport,KGL,78
2688,Mariscal Sucre International Airport,UIO,78
2937,Irkutsk Airport,IKT,78
2378,Gimpo International Airport,GMP,78
1324,Ajaccio-Napoléon Bonaparte Airport,AJA,78
1550,Verona Villafranca Airport,VRN,77
4057,Sharm El Sheikh International Airport,SSH,77
415,Lennart Meri Tallinn Airport,TLL,76
4198,Weeze Airport,NRN,76
3608,Richmond International Airport,RIC,76
1539,Treviso-Sant'Angelo Airport,TSF,76
499,Jersey Airport,JER,76
4075,Faa'a International Airport,PPT,75
3980,Sana'a International Airport,SAH,75
3502,Dallas Love Field,DAL,75
2157,Shiraz Shahid Dastghaib International Airport,SYZ,74
4109,Changzhou Benniu Airport,CZX,74
657,"Moss Airport, Rygge",RYG,74
664,"Sandefjord Airport, Torp",TRF,74
3611,Norfolk International Airport,ORF,74
1321,Bastia-Poretta Airport,BIA,72
1190,Tirana International Airport Mother Teresa,TIA,72
2009,Christchurch International Airport,CHC,72
293,Djerba Zarzis International Airport,DJE,72
3919,Sultan Aji Muhamad Sulaiman Airport,BPN,72
2610,Guararapes - Gilberto Freyre International Airport,REC,72
2673,José Joaquín de Olmedo International Airport,GYE,71
3820,Buffalo Niagara International Airport,BUF,71
4302,Jieyang Chaoshan International Airport,SWA,71
3811,Birmingham-Shuttlesworth International Airport,BHM,71
2927,Khabarovsk-Novy Airport,KHV,71
2902,Piarco International Airport,POS,70
