airport_id,airport_name,iata,betweenness
1472,Diagoras Airport,RHO,11618.70209406366
2176,Kuwait International Airport,KWI,11610.58757113629
979,Maputo Airport,MPM,11525.491369782238
2555,Hercílio Luz International Airport,FLN,11498.175633699635
3263,Kuching International Airport,KCH,11454.309201748722
2191,Sharjah International Airport,SHJ,11232.692548552493
3391,Shanghai Hongqiao International Airport,SHA,11184.01740717958
469,Birmingham International Airport,BHX,11169.209635260888
3690,Nashville International Airport,BNA,11062.43956099829
6248,Boulia Airport,BQL,11009.13244871139
2219,Peshawar International Airport,PEW,10966.216091147082
2875,Sir Grantley Adams International Airport,BGI,10628.178305070545
3386,Hangzhou Xiaoshan International Airport,HGH,10453.479796555092
1665,Geneva Cointrin International Airport,GVA,10349.650016545145
3458,Kansas City International Airport,MCI,10304.707713104792
632,Alta Airport,ALF,10228.88743897503
4161,Yaoundé Nsimalen International Airport,NSI,10084.484637701022
3376,Wuhan Tianhe International Airport,WUH,9832.769607870394
1760,Punta Cana International Airport,PUJ,9706.269976347752
1771,Goloson International Airport,LCE,9657.14419078597
8170,Roche Harbor Seaplane Base,RCE,9620.999999999998
7375,Minaçu Airport,MQH,9596.999999999993
7157,Perryville Airport,KPV,9588.000000000018
1026,Mbandaka Airport,MDK,9587.000000000004
7153,Chignik Lake Airport,KCQ,9585.000000000011
6789,St Augustin Airport,YIF,9584.5
7155,Chignik Lagoon Airport,KCL,9582.000000000005
9745,Chignik Fisheries Airport,KCG,9579.0
2610,Guararapes - Gilberto Freyre International Airport,REC,9573.844892347295
2275,Taipei Songshan Airport,TSA,9532.60280190106
1688,Antalya International Airport,AYT,9269.014565030539
3620,Deadhorse Airport,SCC,9233.670098832663
649,Kirkenes Airport (Høybuktmoen),KKN,9232.349741857262
3374,Shenzhen Bao'an International Airport,SZX,9172.92895956843
1056,Tenerife South Airport,TFS,9003.012563941453
1208,Zagreb Airport,ZAG,8941.528699000888
3261,Dominique Edward Osok Airport,SOQ,8702.94122850123
2895,Queen Beatrix International Airport,AUA,8685.386551812338
2927,Khabarovsk-Novy Airport,KHV,8651.69752069268
2384,Naha Airport,OKA,8632.620552401193
3928,Juanda International Airport,SUB,8536.45535221043
6040,Santa Maria Airport,RIA,8519.000000000075
4374,Yemelyanovo Airport,KJA,8326.451191976004
3520,Ronald Reagan Washington National Airport,DCA,8287.665583872033
1324,Ajaccio-Napoléon Bonaparte Airport,AJA,8266.349809272235
243,Ain el Beida Airport,OGX,8149.331253865116
6322,Quilpie Airport,ULP,8145.8675512879845
3517,Nantucket Memorial Airport,ACK,8114.167592440392
3378,Lanzhou Zhongchuan Airport,LHW,8055.114794349947
3731,San Diego International Airport,SAN,7971.12234662279
6341,Beijing Nanyuan Airport,NAY,7818.859251756071
4328,Vadsø Airport,VDS,7701.8799662172105
6366,Xining Caojiabu Airport,XNN,7649.172906957323
1165,Kigali International Airport,KGL,7646.939545939481
1629,Lajes Airport,TER,7603.692650322524
2313,Nagasaki Airport,NGS,7550.36269636609
3035,Siem Reap International Airport,REP,7547.803349860814
1881,Daniel Oduber Quiros International Airport,LIR,7490.080193381832
30,Campbell River Airport,YBL,7461.693507669046
8200,Toksook Bay Airport,OOK,7451.166666666668
1776,Toncontín International Airport,TGU,7371.202753291682
738,Stockholm-Bromma Airport,BMA,7295.284058531902
2944,Kiev Zhuliany International Airport,IEV,7277.523807424548
2881,Pointe-à-Pitre Le Raizet,PTP,7193.592854080542
1057,Tenerife Norte Airport,TFN,7178.03800631298
6289,Longreach Airport,LRE,7150.322104880234
