country,airport_count,average_latitude,average_longitude
West Bank,1,31.864700317383,35.219200134277
Myanmar,1,23.188800811767578,94.05110168457031
Tuvalu,1,-8.525,179.195999
Isle of Man,1,54.08330154418945,-4.623889923095703
Christmas Island,1,-10.450599670410156,105.69000244140625
Cocos (Keeling) Islands,1,-12.1883001328,96.8339004517
Monaco,1,43.73333333,7.41666666
Nauru,1,-0.547458,166.919006
Gibraltar,1,36.1511993408,-5.3496599197400005
Palestine,1,31.24640083313,34.276100158691
Midway Islands,1,28.20170021057129,-177.38099670410156
Mayotte,1,-12.804699897766113,45.28110122680664
Johnston Atoll,1,16.7285995483,-169.533996582
Ashmore and Cartier Islands,1,-16.068,136.3
Gambia,1,13.338000297546387,-16.65220069885254
Wake Island,1,19.282100677490234,166.63600158691406
Niue,1,-19.079030990600586,-169.92559814453125
Juan de Nova Island,1,40.382,-149.397
